station        component      count          a[mm]          b[yr]          likelihood     
P426           north          116            1.6491e-02     3.1758e+01     1.9570e+02     
P435           north          708            8.0972e+05     1.5622e+03     1.5307e+03     
P436           north          732            2.8503e-01     5.4978e-01     1.1861e+03     
P437           north          732            3.3136e-01     3.6855e-01     1.2046e+03     
P438           north          349            6.2638e-03     7.2089e+01     5.0874e+02     
P439           north          732            2.5582e+00     1.3916e+00     1.1829e+03     
P815           north          732            2.0257e+04     2.8460e+02     1.0824e+03     
P816           north          732            1.5427e+05     9.3859e+02     1.1266e+03     
PABH           north          732            2.4485e+04     3.0897e+02     1.1095e+03     
PCOL           north          732            9.6493e-01     3.6863e-01     1.3307e+03     
SC02           north          731            1.3268e+00     7.7043e-01     1.1563e+03     
SC03           north          732            1.0983e+00     1.0029e-02     1.3964e+03     
SEAT           north          732            2.0016e+00     1.0599e+00     1.1517e+03     
SEDR           north          732            5.4725e-01     5.8894e-01     1.2572e+03     
TWHL           north          624            1.6038e+00     7.9051e-01     1.0949e+03     
ALBH           vertical       726            4.2456e+00     1.0726e-01     2.1381e+03     
BLYN           vertical       562            3.8725e+01     5.6705e-02     2.9946e+03     
KTBW           vertical       732            1.8415e+00     6.2181e-01     2.1323e+03     
NEAH           vertical       732            4.8665e+00     1.0095e-02     2.3892e+03     
P064           vertical       725            2.3499e+04     2.4410e+02     2.1354e+03     
P399           vertical       437            1.8378e+00     3.3932e-02     1.2290e+03     
P400           vertical       732            1.1193e-06     1.0419e+05     2.6121e+03     
P401           vertical       732            1.4900e+00     4.3799e-02     2.0197e+03     
P402           vertical       732            1.9646e+04     3.7291e+02     2.0966e+03     
P403           vertical       682            2.1493e+00     1.2766e-01     2.0790e+03     
P418           vertical       732            1.3581e+00     1.0778e-01     2.1161e+03     
P419           vertical       553            7.8923e-05     2.9062e+03     1.5218e+03     
P423           vertical       732            1.8084e+00     5.2033e-02     2.1862e+03     
P424           vertical       732            2.9722e+00     9.0980e-02     2.1470e+03     
P426           vertical       116            1.5420e-02     3.3737e+01     3.4176e+02     
P435           vertical       708            2.8157e-03     1.4160e+02     2.2632e+03     
P436           vertical       732            1.9359e+00     1.3557e-02     2.1465e+03     
P437           vertical       732            2.6413e+00     7.4250e-01     2.2228e+03     
P438           vertical       349            2.4409e+06     6.5256e+02     9.7573e+02     
P439           vertical       732            1.7720e+00     1.0343e-01     2.1072e+03     
P815           vertical       732            1.5451e+00     4.5123e-02     2.0313e+03     
P816           vertical       732            9.2576e-01     4.0047e-01     2.0655e+03     
PABH           vertical       732            1.4215e+00     5.3273e-02     2.0461e+03     
PCOL           vertical       732            2.8937e+00     5.7424e-02     2.3200e+03     
SC02           vertical       731            2.0822e+00     1.0276e-01     2.1021e+03     
SC03           vertical       732            1.0271e+07     3.5634e+03     2.1200e+03     
SEAT           vertical       732            2.4061e+00     1.3440e-02     2.1141e+03     
SEDR           vertical       732            1.1552e+00     7.3591e-01     2.2374e+03     
TWHL           vertical       624            2.1658e+00     9.5499e-02     1.8828e+03     
